Processo SEI,ID,Especificacao,Tipo,Atribuicao,Etiqueta,Anotacao,Link_Permanente,Qtd_Ocorrencias
23117.008274/2026-82,7843245,Femec faz solicitação de baixa de itens disponibilizados nas salas 1M128A e 1M129,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7843245,1
23117.008330/2023-36,4753390,Coleta de dois aparelhos de ar condicionado,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4753390,1
23117.008646/2026-71,7847564,Baixa nobreak,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7847564,1
23117.008895/2024-02,5763703,DRII -COLETA,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5763703,1
23117.009279/2026-22,7854623,Recolhimento de estufa,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7854623,1
23117.010074/2026-90,7863117,Recolhimento de Toners,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7863117,1
23117.010153/2026-09,7863983,,Material: Recolhimento de Material ao Depósito,cpetrag,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7863983,1
23117.011021/2025-13,6813006,(Não Visualizado) Impressora DIRAM/DIPAT,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6813006,1
23117.011353/2026-71,7876150,Atualização de Registro Patrimonial - Processos de coletas de bens,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7876150,2
23117.011701/2026-18,7879499,(Não Visualizado),Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7879499,1
23117.011716/2024-14,5793170,Atualização do parque computacional IQUFU - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,marco.nunes1,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5793170,1
23117.011750/2024-81,5793546,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5793546,1
