Processo SEI,ID,Especificacao,Tipo,Atribuicao,Etiqueta,Anotacao,Link_Permanente,Qtd_Ocorrencias
23117.035722/2024-59,6059441,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6059441,1
23117.035866/2023-24,5056683,"(Não Visualizado) Recolhimento de Material - Nobreaks, Fonte e Baterias - 23/05/2023 - Faculdade de Computação",Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5056683,1
23117.036634/2024-74,6070397,COLETA HOVET 2S,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6070397,1
23117.036994/2024-76,6074481,Coleta de bens,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6074481,1
23117.037257/2026-52,8190115,(Não Visualizado) Recolhimento de mesa - 850164,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8190115,1
23117.037300/2025-07,7107745,Baixa de itens - Lote de cadeiras e mesas Conjunto infantil,Material: Recolhimento de Material ao Depósito,marco.nunes1,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7107745,1
23117.038041/2026-12,8198925,(Não Visualizado) Bomba à vácuo - Valdislaine,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8198925,1
23117.038224/2026-20,8201674,(Não Visualizado),Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8201674,1
23117.039366/2024-42,6102585,Recolhimento dos aparelhos de ar condicionado,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,Solicitar ao RELAM para aceitar o TBP\rSolicitar o Tiago para aceitar TBP\rConfirmar TBP no STP,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6102585,1
23117.039542/2024-46,6104960,Recolhimento de bem em desuso,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,Aguardando aceite no TBP,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6104960,1
23117.039564/2024-14,6105210,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6105210,1
23117.039977/2026-52,8225492,(Não Visualizado) Baixa de equipamento e Recolhimento,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8225492,1
23117.040106/2024-10,6112157,Atualização do parque computacional FEELT - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6112157,1
23117.040145/2023-36,5101902,Recolhimento de armário e mesa em desuso - DIRCO,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5101902,1
23117.040649/2024-37,6119376,COLETA FACOM BLOCO 1B,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6119376,1
23117.040790/2026-00,8236456,(EXECUTADO)_ALMOXARIFADO_TROCA DE GRAMPEADORES,Material: Recolhimento de Material ao Depósito,tatiana,,BAIXA GRAMPEADORES,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8236456,1
23117.040792/2026-91,8236480,(Não Visualizado) Recolhimento de materiais - Lousa,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8236480,1
23117.041547/2024-39,6130158,Atualização do parque computacional IERI - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6130158,1
23117.042435/2025-86,7172406,Patos - Coleta,Material: Recolhimento de Material ao Depósito,marco.nunes1,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7172406,1
23117.042466/2024-56,6142118,COLETA CTIC Bloco 2Y,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6142118,1
23117.042512/2024-17,6142431,COLETA CTIC 2Y,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6142431,1
23117.042687/2024-24,6144747,,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6144747,1
23117.042843/2023-76,5128725,Recolhimento de Patrimônio: Armários - 20/06/2023 - Faculdade de Computação,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5128725,1
23117.042939/2024-15,6147823,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6147823,1
23117.043165/2025-21,7181008,Retirada de equipamento em desuso,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,assianar informe e enviar ao setor,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7181008,1
23117.043169/2023-47,5131768,Solicito retirada de bem em desuso - Microondas,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5131768,1
23117.043367/2026-53,8267622,,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8267622,1
23117.043561/2026-39,8269566,(Não Visualizado) Cadeiras e estufa - LAETE,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8269566,1
23117.044261/2024-13,6163907,(Não Visualizado) IFILO - COLETA CANCELADO - O atualizado está em 23117.083104/2024-15,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6163907,1
23117.044431/2022-90,4157796,Bens patrimoniais para retirada,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4157796,1
23117.044482/2025-64,7197202,FEMEC - COLETA,Material: Recolhimento de Material ao Depósito,,Coleta,verificar se os itens estão no depósito,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7197202,2
23117.045388/2023-61,5155029,Recolhimento de patrimônio: Ar condicionado - Patrimônio: 711988,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5155029,1
23117.045408/2025-65,7208825,Solicitação urgente de baixa patrimonial e recolhimento de colchões deteriorados – Ginásios 4 e 7,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7208825,1
23117.045484/2026-51,8291591,(Não Visualizado) Baixa de Patrimônio - Glória,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8291591,1
23117.045524/2026-65,8292076,PEDIDO DE RECOLHIMENTO DE BENS INSERVÍVEIS,Material: Recolhimento de Material ao Depósito,,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8292076,1
23117.045773/2025-70,7213155,Coleta de itens - Enfermagem Bloco 2U - (Estão no Banco do Brasil),Material: Recolhimento de Material ao Depósito,cpetrag,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7213155,1
23117.045809/2024-34,6182362,"Solicito retirada de bem em desuso: Microondas, Ultrassom, Aquecedor e Tablet",Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,Solicitar aprovação ao HOVET do TBP 26760Solicitar ao Tiago aceito do TBPConcluir o TBP e inserir no processo,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6182362,1
23117.046287/2026-50,8301442,(Não Visualizado) Solicitação de baixa de 02 ventiladores,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8301442,1
23117.046391/2026-44,8302753,,Material: Recolhimento de Material ao Depósito,,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8302753,1
23117.046585/2024-88,6192004,(Não Visualizado) IME - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6192004,1
23117.046619/2026-04,8305256,Recolhimento ar condicionado - COREME,Material: Recolhimento de Material ao Depósito,,Coleta,AGENDA,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8305256,1
23117.046641/2025-65,7223348,Recolhimento de material de container da FEMEC próximo ao bloco 1-M,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,VERIFICAR,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7223348,2
23117.046732/2024-10,6193822,Coleta de telefone sem fio_Dirai,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6193822,1
23117.046754/2024-80,6193996,Baixa de materiais,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6193996,1
23117.047335/2025-46,7230995,(Não Visualizado) Equipamentos Baixa Patrimônio 5H - Laprosolda,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7230995,1
23117.047486/2025-02,7233138,Solicitação de Baixa e Recolhimento de Material - Sala -1G113/128/119,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,VERIFICAR ENVIO PARA A DIPAT,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7233138,1
23117.047883/2022-23,4195481,Solicita Recolhimento de Bens Permanentes Direcionados ao Desuso,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4195481,1
23117.048309/2024-54,6211468,(Não Visualizado) Recolhimento estabilizador,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6211468,1
23117.048471/2024-72,6213394,Recolhimneto de bens em desuso,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,conferido,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6213394,1
23117.048568/2023-02,5189869,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5189869,1
23117.048748/2025-48,7248898,Desocupação Sala 18 - bloco 2H,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7248898,1
23117.048752/2026-97,8330623,Solicitação de recolhimento itens inservíveis,Material: Recolhimento de Material ao Depósito,,,CAp/UFU,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8330623,1
23117.049204/2026-84,8336884,Recolhimento de material ao depósito para baixa ou reuso.,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,CAp/UFU,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8336884,1
23117.049338/2023-52,5198234,Solicito retirada de bem em desuso - Dois CPU,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5198234,1
23117.049769/2024-08,6227424,(Não Visualizado) Recolhimento de CPUs para,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6227424,2
23117.049936/2025-93,7263693,Coleta de itens - Nutrição Bloco 2U - (Estão no Banco do Brasil),Material: Recolhimento de Material ao Depósito,cpetrag,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7263693,1
23117.050459/2025-17,7269218,Desocupação de salas do bloco 2U para reforma - Materiais FAMED - (Estão no Banco do Brasil),Material: Recolhimento de Material ao Depósito,cpetrag,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7269218,1
23117.051399/2023-80,5218199,(Não Visualizado) COLETA ICBIM 4C,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5218199,1
23117.052539/2023-37,5229992,Bens em Desuso,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5229992,1
23117.053528/2026-17,8393374,(Não Visualizado) Recolhimneto de bens em desuso,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8393374,1
23117.053591/2026-53,8394136,"(Não Visualizado) CONDICIONADOR DE AR PATRIMÔNIO 703588, SALA DA PERCUSSÃO, BLOCO 5U",Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8394136,1
23117.053724/2024-20,6273392,Baixa de Equipamentos DIRPS (telefones),Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6273392,1
23117.053757/2021-27,3344175,,Material: Recolhimento de Material ao Depósito,,Termo de Guarda de Material/Equipamento,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=3344175,1
23117.054645/2025-17,7316662,COLETA DE BENS PERMANENTE EM DESUSO,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7316662,1
23117.054733/2024-38,6285004,(Não Visualizado) Recolhimento de Material ao depósito,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6285004,1
23117.055181/2024-85,6290185,(Não Visualizado) FADIR - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6290185,1
23117.055465/2026-33,8418789,Coleta de bens em desuso / Solicitação de baixa de bens,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8418789,1
23117.056014/2026-13,8425486,Recolhimneto de bens em desuso,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,verificar,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8425486,1
23117.056660/2023-38,5273066,COLETA FAMEV 2S,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5273066,1
23117.056665/2024-41,6306851,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6306851,1
23117.056706/2024-08,6307232,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6307232,1
23117.057830/2025-63,7355187,,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7355187,1
23117.057850/2026-15,8447747,,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8447747,1
23117.057931/2026-15,8449063,(Não Visualizado) Coleta de bens em desuso,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8449063,1
23117.057996/2024-07,6322079,Bem em desuso - telefone estragado,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,assinar,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6322079,1
23117.058136/2025-63,7358547,Patos - Recolhimento de cadeira com rodízio (patr. 135806) em baixa permanente - FEQUI,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7358547,1
23117.058238/2026-60,8452721,,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,ANALISAR,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8452721,1
23117.058324/2024-19,6325016,RECOLHIMENTO DE BENS DIVERSOS CTIC 2Y UMUARAMA,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6325016,1
23117.058844/2023-32,5300658,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5300658,1
23117.058860/2023-25,5300769,,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5300769,1
23117.059035/2023-48,5302626,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5302626,1
23117.059613/2023-46,5309187,Baixa de estabilizadores 1G 113,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5309187,1
23117.059753/2023-14,5310690,solicitação de baixa dos monitores,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5310690,1
23117.060200/2023-12,5316299,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5316299,1
23117.060597/2023-34,5320861,COLETA ICBIM 2B,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5320861,1
23117.060680/2026-56,8482415,Recolhimento através de Cooperativa,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8482415,2
23117.061147/2026-10,8489200,(Não Visualizado) Material  para descarte,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8489200,1
23117.061457/2026-26,8493479,Recolhimneto de bem em desuso,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8493479,1
23117.062191/2023-96,5339027,Baixa patrimonial de materiais diversificado - sala 1G117,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5339027,1
23117.062208/2024-96,6368690,,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6368690,1
23117.062288/2024-80,6369584,,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6369584,1
23117.062518/2024-19,6372460,Recolhimneto de bens em desuso,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6372460,1
23117.063434/2024-94,6382320,(Não Visualizado) BAIXA DE BENS EM DESUSO - PPGPSI,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6382320,1
23117.063912/2023-85,5358289,COLETA MATERIAL PARA BAIXA NO BLOCO 2E - UMUARAMA - IBTEC.,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5358289,1
23117.064553/2025-45,7433839,Baixa de itens eletrônicos (32) - Setembro de 2025,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7433839,1
23117.064860/2024-45,6397542,Solicitação,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6397542,1
23117.066668/2025-74,7457277,Coleta de em em desuso - Ventilador - Netbook - Notebook,Material: Recolhimento de Material ao Depósito,,Coleta,Aguardando abertura de processo relacionado,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7457277,1
23117.066800/2023-86,5392161,Solicito retirada de bem em desuso - Serra Gesso,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5392161,1
23117.067156/2024-44,6425432,Baixa de um Refrigerador,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6425432,1
23117.067459/2025-48,7467381,(Não Visualizado) Solicitação de retirada de armário danificado por cupins,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7467381,1
23117.067554/2025-41,7468414,Estragado sem laudo ( sem funcionar ),Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7468414,1
23117.067661/2024-99,6431074,,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6431074,1
23117.069853/2024-30,6453838,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6453838,1
23117.069988/2025-86,7495265,Devolução de material.,Material: Recolhimento de Material ao Depósito,,Recolhimento,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7495265,1
23117.071960/2025-17,7515437,Pontal - Coleta,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7515437,1
23117.073253/2024-76,6493802,,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6493802,1
23117.073259/2024-43,6493856,(Não Visualizado) Recolhimento de bens em desuso - DECIR,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6493856,1
23117.073964/2024-41,6501257,,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6501257,1
23117.073975/2023-40,5476721,DIRAP - COLETA,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5476721,1
23117.074287/2025-69,7540668,Pontal - Coleta - Recolhimento de material,Material: Recolhimento de Material ao Depósito,cpetrag,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7540668,1
23117.074377/2023-98,5481573,(Não Visualizado) Baixa patrimonial de materiais diversificado - sala 5M201-1G 119 -1G113,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5481573,1
23117.074723/2023-38,5485645,Bem em desuso para recolhimento,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5485645,1
23117.075638/2024-78,6522820,(Não Visualizado) ICHPO PONTAL,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6522820,1
23117.076289/2024-10,6530005,Coleta de Ar Condicionado - Livraria da Edufu,Material: Recolhimento de Material ao Depósito,marley.duarte,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6530005,2
23117.077175/2025-60,7571992,Recolhimento materias curso de pedagogia pontal,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7571992,1
23117.077241/2023-30,5514096,Solicitação de recolhimento de material em desuso.,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5514096,1
23117.077830/2025-80,7579753,Recolhimento do Material - Curso de Administração - FACES/UFU,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7579753,1
23117.078714/2025-88,7590410,(Não Visualizado) DITRA Recolhimento de Objetos,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7590410,1
23117.078763/2024-30,6556200,Baixa de itens - Armários cantina Eseba,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6556200,1
